callgraph,nodes,edges,vulnerable,shortest_vulnerable_path,dependencies,vulnerabilities,vulnerable_ratio
org.testingisdocumenting.webtau.webtau-reactjs-1.22-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
io.appulse.encon.examples.simple-1.6.10-reduced.json,25381,250460,0,0,21,0,0.0
org.testingisdocumenting.webtau.webtau-standalone-runner-groovy-1.22-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
org.testingisdocumenting.webtau.webtau-cli-1.22-SNAPSHOT-reduced.json,6016,31917,6,24,11,4,0.0009973404255319148
io.appulse.encon.examples.custom-queue-1.6.10-reduced.json,25381,250460,0,0,21,0,0.0
com.github.monkeywie.proxyee-1.2.0-reduced.json,12217,82428,0,0,10,0,0.0
com.hortonworks.registries.storage-common-0.9.0.7.2.1.0-SNAPSHOT-reduced.json,4,2,0,0,1,0,0.0
cn.vertxup.vertx-gaia-0.5.3-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
io.appulse.encon.examples.load-config-1.6.10-reduced.json,25483,250974,0,0,21,0,0.0
in.xnnyygn.xgossip.xgossip-0.1.0-SNAPSHOT-reduced.json,25240,231232,0,0,11,0,0.0
io.appulse.encon.examples.echo-server-spring-1.6.10-reduced.json,97,112,0,0,3,0,0.0
com.genersoft.wvp-1.5.10.RELEASE-reduced.json,52148,838500,63,21,50,31,0.001208100023011429
io.gazetteer.gazetteer-tiles-1.0-SNAPSHOT-reduced.json,26893,271166,3,144,27,8,0.0001115531922805191
io.appulse.encon.encon-databind-1.6.10-reduced.json,930,2189,0,0,10,0,0.0
com.sendgrid.sendgrid-java-4.7.1-reduced.json,10949,96342,0,0,9,0,0.0
io.appulse.encon.encon-terms-1.6.10-reduced.json,625,750,0,0,5,0,0.0
cn.vertxup.vertx-co-0.5.3-SNAPSHOT-reduced.json,77336,1726576,0,0,47,0,0.0
com.treasuredata.client.td-client-0.9.1-SNAPSHOT-reduced.json,18714,295812,0,0,15,0,0.0
net.pincette.pincette-netty-http-1.0.2-reduced.json,9347,44007,0,0,12,0,0.0
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,20789,396669,3,2,17,2,0.00014430708547789696
com.swiftmq.swiftmq-client-12.1.0-reduced.json,18965,127737,22,5,6,1,0.00116003163722647
com.spotify.bigtable-autoscaler-0.0.33-SNAPSHOT-reduced.json,66284,1190803,8,20,99,15,0.00012069277653732425
com.hortonworks.registries.storage-0.9.0.7.2.1.0-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
pl.edu.icm.unity.unity-server-parent-3.3.0-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
org.testingisdocumenting.webtau.webtau-utils-1.22-SNAPSHOT-reduced.json,4362,22055,6,16,6,4,0.001375515818431912
io.gazetteer.gazetteer-benchmarks-1.0-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
io.appulse.encon.encon-config-1.6.10-reduced.json,16652,105045,0,0,10,0,0.0
com.hortonworks.registries.schema-registry-authorizer-0.9.0.7.2.1.0-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
io.gazetteer.gazetteer-1.0-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
org.aquiver.aquiver-1.0-SNAPSHOT-reduced.json,13193,82736,0,0,18,0,0.0
io.appulse.encon.examples.echo-server-1.6.10-reduced.json,7,2,0,0,1,0,0.0
org.testingisdocumenting.webtau.webtau-groovy-ast-1.22-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
com.hortonworks.registries.common-auth-0.9.0.7.2.1.0-SNAPSHOT-reduced.json,4917,18925,0,0,15,0,0.0
com.hortonworks.registries.hortonworks-registries-docker-0.9.0.7.2.1.0-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
org.testingisdocumenting.webtau.webtau-console-1.22-SNAPSHOT-reduced.json,4173,21841,6,19,7,4,0.0014378145219266715
io.appulse.encon.encon-spring-1.6.10-reduced.json,40076,395064,0,0,31,0,0.0
com.flipkart.zjsonpatch.zjsonpatch-0.4.10-SNAPSHOT-reduced.json,6397,70934,7,22,4,17,0.0010942629357511334
org.b3log.latke-repository-h2-3.2.10-SNAPSHOT-reduced.json,31956,382005,0,0,17,0,0.0
org.kitteh.irc.client-lib-7.3.0-SNAPSHOT-reduced.json,10004,44208,0,0,11,0,0.0
org.testingisdocumenting.webtau.webtau-core-groovy-1.22-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
org.b3log.latke-repository-oracle-3.2.10-SNAPSHOT-reduced.json,40444,368630,0,0,18,0,0.0
io.appulse.encon.encon-handler-1.6.10-reduced.json,26458,257486,0,0,23,0,0.0
com.hortonworks.registries.schema-registry-authorizer-core-0.9.0.7.2.1.0-SNAPSHOT-reduced.json,47752,1137669,0,0,74,0,0.0
io.appulse.encon.benchmark-1.6.10-reduced.json,29579,288784,0,0,27,0,0.0
io.gazetteer.gazetteer-osm-1.0-SNAPSHOT-reduced.json,17480,148793,0,0,13,0,0.0
pl.dmichalski.spring-boot-swing-reservations-1.0-reduced.json,21970,269271,1,195,28,1,4.551661356395084e-05
io.appulse.encon.encon-common-1.6.10-reduced.json,81,61,0,0,1,0,0.0
cn.vertxup.vertx-zero-0.5.3-SNAPSHOT-reduced.json,0,0,0,0,0,0,0.0
org.testingisdocumenting.webtau.webtau-config-1.22-SNAPSHOT-reduced.json,4450,22688,6,19,8,4,0.001348314606741573
io.appulse.encon.examples.load-config-spring-1.6.10-reduced.json,40467,402973,0,0,32,0,0.0
org.testingisdocumenting.webtau.webtau-test-server-1.22-SNAPSHOT-reduced.json,7944,38250,6,19,16,4,0.0007552870090634441
