full_name,short_name,nodes,edges,execution_paths,runtime,Model D RBO,HARM RBO
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,10,8,3,0.7105407809940516,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,20,20,3,0.14568751899787458,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,30,32,3,0.14284349800436758,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,40,63,3,0.1464292930031661,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,50,94,3,0.14659709999978077,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,60,125,3,0.1478618600012851,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,70,182,3,0.1518706979986746,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,80,267,3,0.154402050000499,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,90,384,3,0.15538838599604787,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,100,465,3,0.15691275399876758,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,110,627,3,0.16276582299906295,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,120,784,3,0.1702063199991244,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,130,990,3,0.17548081100540003,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,140,1248,3,0.18265936199895805,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,150,1594,3,0.19064174799859757,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,160,2003,3,0.19540383999992628,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,170,2530,3,0.20750389600289054,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,180,2941,3,0.21319080000102986,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,190,3680,3,0.2252728810053668,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,200,4449,3,0.23980473399569746,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,210,5411,3,0.24960330500471173,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,220,6451,3,0.2648876620005467,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,230,7330,3,0.2771014039972215,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,240,8185,3,0.2918028400017647,0.5,0.5
me.gaigeshen.wechat.wechat-mp-1.2.0-SNAPSHOT-reduced.json,wechat-mp,250,9654,3,0.3122003099997528,0.5,0.5
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,10,3,13,0.6946518359982292,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,20,19,80,0.1402883729970199,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,30,30,86,0.1365443780014175,1.0,1.0
com.swiftmq.swiftmq-client-12.1.0-reduced.json,swiftmq-client,40,48,86,0.13830092400166905,1.0,1.0
